sn,cpu_milli,memory_mib,gpu,model
openb-node-0454,32000,65536,0,
openb-node-0455,32000,65536,0,
openb-node-0456,64000,262144,8,V100M16
openb-node-0457,96000,393216,8,G2
openb-node-0458,104000,524288,2,T4
openb-node-0459,104000,524288,2,T4
openb-node-0460,104000,524288,2,T4
openb-node-0461,104000,524288,2,T4
openb-node-0462,104000,524288,2,T4
openb-node-0463,104000,524288,2,T4
openb-node-0464,104000,524288,2,T4
openb-node-0465,104000,524288,2,T4
openb-node-0466,104000,524288,2,T4
openb-node-0467,96000,393216,8,G2
openb-node-0468,96000,393216,8,G2
openb-node-0469,96000,393216,8,G2
openb-node-0470,96000,393216,8,G2
openb-node-0471,96000,393216,8,G2
openb-node-0472,48000,376832,4,V100M32
openb-node-0473,64000,262144,8,V100M16
openb-node-0474,96000,393216,8,G2
openb-node-0475,96000,393216,8,G2
openb-node-0476,104000,524288,2,T4
openb-node-0477,104000,524288,2,T4
openb-node-0478,104000,524288,2,T4
openb-node-0479,104000,524288,2,T4
openb-node-0480,104000,524288,2,T4
openb-node-0481,96000,786432,8,V100M32
openb-node-0482,96000,393216,8,G2
openb-node-0483,32000,131072,4,V100M16
openb-node-0484,96000,393216,8,G2
openb-node-0485,96000,393216,8,G2
openb-node-0486,96000,393216,8,G2
openb-node-0487,96000,393216,8,G2
openb-node-0488,16000,122880,2,P100
openb-node-0489,64000,262144,8,V100M16
openb-node-0490,104000,786432,0,
openb-node-0491,16000,122880,2,P100
openb-node-0492,96000,393216,8,G2
openb-node-0493,96000,393216,8,G2
openb-node-0494,96000,393216,8,G2
openb-node-0495,96000,393216,8,G2
openb-node-0496,16000,122880,2,P100
openb-node-0497,8000,32768,1,V100M16
openb-node-0498,96000,393216,8,G2
